presentation_code,course_week,retention_pct
2013B,1.0,100.0
2013J,1.0,100.0
2014B,1.0,100.0
2014J,1.0,100.0
2013B,2.0,96.82
2013J,2.0,98.55000000000001
2014B,2.0,99.18
2014J,2.0,97.07000000000001
2013B,3.0,103.46
2013J,3.0,100.61
2014B,3.0,96.84
2014J,3.0,101.61
2013B,4.0,97.43
2013J,4.0,93.78999999999999
2014B,4.0,92.84
2014J,4.0,92.85
2013B,5.0,91.18
2013J,5.0,92.88
2014B,5.0,89.75999999999999
2014J,5.0,91.96
2013B,6.0,88.16000000000001
2013J,6.0,87.39
2014B,6.0,84.8
2014J,6.0,86.1
2013B,7.0,93.5
2013J,7.0,91.53999999999999
2014B,7.0,82.03
2014J,7.0,81.51
2013B,8.0,87.11
2013J,8.0,87.82
2014B,8.0,81.89
2014J,8.0,83.15
2013B,9.0,76.02
2013J,9.0,80.49
2014B,9.0,75.69
2014J,9.0,79.16
2013B,10.0,75.8
2013J,10.0,72.28999999999999
2014B,10.0,75.37
2014J,10.0,75.06
2013B,11.0,75.91
2013J,11.0,57.8
2014B,11.0,70.37
2014J,11.0,53.66
2013B,12.0,78.78
2013J,12.0,52.459999999999994
2014B,12.0,71.23
2014J,12.0,45.629999999999995
