module_code,presentation_code,assessment_id,assessment_type,assessment_due_day,assessment_weight,student_id,date_submitted,raw_score,submission_delay_days,is_passed
AAA,2013J,1752,TMA,19,10.00,11391,18,78.00,-1,true
AAA,2013J,1752,TMA,19,10.00,28400,22,70.00,3,true
AAA,2013J,1752,TMA,19,10.00,31604,17,72.00,-2,true
AAA,2013J,1752,TMA,19,10.00,32885,26,69.00,7,true
AAA,2013J,1752,TMA,19,10.00,38053,19,79.00,0,true
AAA,2013J,1752,TMA,19,10.00,45462,20,70.00,1,true
AAA,2013J,1752,TMA,19,10.00,45642,18,72.00,-1,true
AAA,2013J,1752,TMA,19,10.00,52130,19,72.00,0,true
AAA,2013J,1752,TMA,19,10.00,53025,9,71.00,-10,true
AAA,2013J,1752,TMA,19,10.00,57506,18,68.00,-1,true
AAA,2013J,1752,TMA,19,10.00,58873,19,73.00,0,true
AAA,2013J,1752,TMA,19,10.00,59185,18,67.00,-1,true
AAA,2013J,1752,TMA,19,10.00,62155,17,73.00,-2,true
AAA,2013J,1752,TMA,19,10.00,63400,19,83.00,0,true
AAA,2013J,1752,TMA,19,10.00,65002,17,66.00,-2,true
AAA,2013J,1752,TMA,19,10.00,70464,19,59.00,0,true
AAA,2013J,1752,TMA,19,10.00,71361,19,82.00,0,true
AAA,2013J,1752,TMA,19,10.00,74372,22,60.00,3,true
AAA,2013J,1752,TMA,19,10.00,75091,18,67.00,-1,true
AAA,2013J,1752,TMA,19,10.00,77367,18,73.00,-1,true
AAA,2013J,1752,TMA,19,10.00,91265,21,75.00,2,true
AAA,2013J,1752,TMA,19,10.00,94961,17,74.00,-2,true
AAA,2013J,1752,TMA,19,10.00,98094,18,62.00,-1,true
AAA,2013J,1752,TMA,19,10.00,100893,17,63.00,-2,true
AAA,2013J,1752,TMA,19,10.00,101781,16,84.00,-3,true
AAA,2013J,1752,TMA,19,10.00,102806,19,80.00,0,true
AAA,2013J,1752,TMA,19,10.00,102952,19,76.00,0,true
AAA,2013J,1752,TMA,19,10.00,104476,30,85.00,11,true
AAA,2013J,1752,TMA,19,10.00,106247,32,67.00,13,true
AAA,2013J,1752,TMA,19,10.00,106577,18,57.00,-1,true
AAA,2013J,1752,TMA,19,10.00,110175,18,66.00,-1,true
AAA,2013J,1752,TMA,19,10.00,111717,10,80.00,-9,true
AAA,2013J,1752,TMA,19,10.00,113295,19,81.00,0,true
AAA,2013J,1752,TMA,19,10.00,114017,18,66.00,-1,true
AAA,2013J,1752,TMA,19,10.00,114999,18,74.00,-1,true
AAA,2013J,1752,TMA,19,10.00,116541,19,76.00,0,true
AAA,2013J,1752,TMA,19,10.00,116692,16,72.00,-3,true
AAA,2013J,1752,TMA,19,10.00,118983,19,73.00,0,true
AAA,2013J,1752,TMA,19,10.00,123044,25,75.00,6,true
AAA,2013J,1752,TMA,19,10.00,127582,26,69.00,7,true
AAA,2013J,1752,TMA,19,10.00,129955,18,85.00,-1,true
AAA,2013J,1752,TMA,19,10.00,132976,18,63.00,-1,true
AAA,2013J,1752,TMA,19,10.00,134143,18,87.00,-1,true
AAA,2013J,1752,TMA,19,10.00,135400,19,72.00,0,true
AAA,2013J,1752,TMA,19,10.00,137873,15,72.00,-4,true
AAA,2013J,1752,TMA,19,10.00,141355,19,77.00,0,true
AAA,2013J,1752,TMA,19,10.00,141377,54,45.00,35,true
AAA,2013J,1752,TMA,19,10.00,142326,17,65.00,-2,true
AAA,2013J,1752,TMA,19,10.00,144801,19,61.00,0,true
AAA,2013J,1752,TMA,19,10.00,145130,19,75.00,0,true
AAA,2013J,1752,TMA,19,10.00,146188,19,52.00,0,true
AAA,2013J,1752,TMA,19,10.00,147756,18,77.00,-1,true
AAA,2013J,1752,TMA,19,10.00,147793,32,52.00,13,true
AAA,2013J,1752,TMA,19,10.00,148993,25,68.00,6,true
AAA,2013J,1752,TMA,19,10.00,151358,17,54.00,-2,true
